Copies,Nickname,card_background,card_background style,immagine di fondo,immagine di fondo style,img_pergamena_titolo,img_scudo,valore asta,titolo,titolo style,img_moneta,miglioria,miglioria style,pesce1,pesce1 style,pesce2,pesce2 style,categoria miglioria,valore guadagno,valore guadagno style,pesce3,pesce3 style,img_pergamena_miglioria,img_pergamena_pesci,spiega miglioria,spiega miglioria style,spiega miglioria,spiega miglioria style,img_pergamena guadagno,img_pergamena miglioria
1,,,,"79_do forni.png,30,50,182","{backgroundSize:125%}
{backgroundPositionX:45%}
{backgroundPositionY:100%}",,,10,Ristorante Do Forni,,moneta.png,M_fiuto.png,,r_gambero.png,,r_mollusco.png,,F_pescherecci.png,15,,r_branzino.png,,,,"Amici:
/
un pescatore ti tiene un pesce da parte",,"Amici:
/
un pescatore ti tiene un pesce da parte",,,
1,,,,"80_ninfee.png,50,50,164",{backgroundSize:127%},,,6,Osteria Ninfea,,moneta.png,M_banco ampliato.png,,r_mollusco.png,,,{display:none},F_pescherecci.png,4,,,{display:none},,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,81_tesoro.png,,,,9,Trattoria Al Tesoro,,moneta.png,M_favorito.png,,r_sardina.png,,r_gambero.png,,F_mercato.png,14,,r_mollusco.png,,,,"La Congrega:
/
pagano di più il tuo pesce preferito",,"La Congrega:
/
pagano di più il tuo pesce preferito",,,
1,,,,82_vin bon.png,"{backgroundSize:158%}
{backgroundPositionX:73%}
{backgroundPositionY:100%}",,,10,Trattoria Al Vin Bon,,moneta.png,M_contrattazione.png,,r_polpo.png,,r_branzino.png,,F_mercato.png,16,,r_gambero.png,,,,"Sottobanco:
/
scambi due pesci uguali per uno",,"Sottobanco:
/
scambi due pesci uguali per uno",,,
1,,,,"83_foscari.png,50,50,171","{backgroundSize:141%}
{backgroundPositionY:100%}",,,8,Ristorante Ca' Foscari,,moneta.png,M_favorito.png,,r_branzino.png,,r_branzino.png,,F_mercato.png,12,,r_mollusco.png,,,,"La Congrega:
/
pagano di più il tuo pesce preferito",,"La Congrega:
/
pagano di più il tuo pesce preferito",,,
1,,,,84_rio.png,"{backgroundSize:155%}
{backgroundPositionY:100%}",,,7,Trattoria del Rio,,moneta.png,M_banco ampliato.png,,r_branzino.png,,r_sardina.png,,F_pescherecci.png,7,,,{display:none},,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,"85_vecio bacan.png,60,50,172","{backgroundSize:150%}
{backgroundPositionX:31%}
{backgroundPositionY:100%}",,,10,Osteria Vecio Bacan,,moneta.png,M_banco ampliato.png,,r_mollusco.png,,r_mollusco.png,,F_pescherecci.png,14,,r_gambero.png,,,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,"86_pie del ponte.png,51,50,159","{backgroundSize:139%}
{backgroundPositionX:30%}
{backgroundPositionY:100%}",,,9,Ai Pie del Ponte,,moneta.png,M_ecocapitano.png,,r_polpo.png,,r_mollusco.png,,F_aste.png,17,,r_gambero.png,,,,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,,
1,,,,"87_morosini.png,43,50",{backgroundPositionX:0%},,,9,Ristorante dei Morosini,,moneta.png,M_ecocapitano.png,,r_sardina.png,,r_sardina.png,,F_aste.png,9,,r_branzino.png,,,,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,,
1,,,,88_Botte Bona.png,,,,8,La Botte Bona,,moneta.png,M_nuovi clienti.png,,r_polpo.png,,,{display:none},F_aste.png,5,,,{display:none},,,"Fortuna:
/
Asta persa, cliente trovato",,"Fortuna:
/
Asta persa, cliente trovato",,,
1,,,,"89_al tramonto.png,50,50,171","{backgroundSize:120%}
{backgroundPositionX:12%}
{backgroundPositionY:100%}",,,8,Ristorante Al Tramonto,,moneta.png,M_favorito.png,,r_mollusco.png,,r_sardina.png,,F_mercato.png,8,,,{display:none},,,"La Congrega:
/
pagano di più il tuo pesce preferito",,"La Congrega:
/
pagano di più il tuo pesce preferito",,,
1,,,,"90_gatto rosso.png,50,100,166","{backgroundSize:120%}
{backgroundPositionX:52%}
{backgroundPositionY:100%}",,,7,Trattoria Il Gatto Rosso,,moneta.png,M_contrattazione.png,,r_branzino.png,,r_branzino.png,,F_mercato.png,6,,,{display:none},,,"Sottobanco:
/
scambi due pesci uguali per uno",,"Sottobanco:
/
scambi due pesci uguali per uno",,,
1,,,,"91_grimani.png,44,50,163","{backgroundSize:117%}
{backgroundPositionX:0%}
{backgroundPositionY:100%}",,,10,Famiglia Contarini,,moneta.png,M_fiuto.png,,r_polpo.png,,r_mollusco.png,,F_pescherecci.png,11,,,{display:none},,,"Amici:
/
un pescatore ti tiene un pesce da parte",,"Amici:
/
un pescatore ti tiene un pesce da parte",,,
1,,,,"92_dandolo.png,50,50,167","{backgroundSize:119%}
{backgroundPositionX:0%}",,,8,Famiglia Dandolo,,moneta.png,M_arte venditore.png,,r_gambero.png,,r_branzino.png,,F_bilancia.png,13,,r_sardina.png,,,,"Mercante:
/
ogni carta mercato ti rende 2",,"Mercante:
/
ogni carta mercato ti rende 2",,,
1,,,,93_corner.png,{backgroundPositionX:0%},,,9,Famiglia Corner,,moneta.png,M_arte venditore.png,,r_polpo.png,,r_branzino.png,,F_bilancia.png,10,,,{display:none},,,"Mercante:
/
ogni carta mercato ti rende 2",,"Mercante:
/
ogni carta mercato ti rende 2",,,
1,,,,"94_zeno.png,21,50,174","{backgroundSize:116%}
{backgroundPositionX:31%}",,,10,Famiglia Zeno,,moneta.png,M_ecocapitano.png,,r_gambero.png,,r_branzino.png,,F_aste.png,9,,,{display:none},,,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,"Esperienza:
/
+1 all'asta
/
una volta al
/
giorno",,,
1,,,,95_querini.png,,,,6,Famiglia Querini,,moneta.png,M_banco ampliato.png,,r_mollusco.png,,,{display:none},F_pescherecci.png,4,,,{display:none},,,"Banco più
/
grande:
/
+1 pesce",,"Banco più
/
grande:
/
+1 pesce",,,
1,,,,96_barbarigo.png,,,,9,Famiglia Barbarigo,,moneta.png,M_nuovi clienti.png,,r_sardina.png,,r_gambero.png,,F_aste.png,14,,r_mollusco.png,,,,"Fortuna:
/
Asta persa, cliente trovato",,"Fortuna:
/
Asta persa, cliente trovato",,,
1,,,,"97_grimani.png,96,50",,,,10,Famiglia Grimani,,moneta.png,M_amico pescatori.png,,r_polpo.png,,r_branzino.png,,F_bilancia.png,16,,r_gambero.png,,,,"Mercante:
/
ogni carta ancora ti rende 2",,"Mercante:
/
ogni carta ancora ti rende 2",,,
1,,,,"98_Barbaro.png,37,50",,,,8,Famiglia Barbaro,,moneta.png,M_fiuto.png,,r_branzino.png,,r_branzino.png,,F_pescherecci.png,12,,r_mollusco.png,,,,"Amici:
/
un pescatore ti tiene un pesce da parte",,"Amici:
/
un pescatore ti tiene un pesce da parte",,,
1,,,,99_loredan.png,,,,7,Famiglia Loredan,,moneta.png,M_contrattazione.png,,r_branzino.png,,r_sardina.png,,F_mercato.png,7,,,{display:none},,,"Sottobanco:
/
scambi due pesci uguali per uno",,"Sottobanco:
/
scambi due pesci uguali per uno",,,
1,,,,"100_mocenigo.png,49,50",{backgroundPositionX:27%},,,10,Famiglia Mocenigo,,moneta.png,M_favorito.png,,r_mollusco.png,,r_mollusco.png,,F_mercato.png,14,,r_gambero.png,,,,"La Congrega:
/
pagano di più il tuo pesce preferito",,"La Congrega:
/
pagano di più il tuo pesce preferito",,,
